Region,Country,Birth Rate,Business Tax Rate,CO2 Emissions,Days to Start Business,Energy Usage,GDP ($B),Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14 %,Population 15-64 %,Population 65+ %,Population (M),Population Urban %,Tourism Inbound ($M),Tourism Outbound ($M)
Africa,Ethiopia,0.035,0.303,6494,15,33250,29.39,0.047,14,198,0.051,0,,63,60,0.1,0.444,0.523,0.033,87.095,0.173,1434,143
Africa,Gabon,0.033,0.435,2574,57,1984,14.57,0.035,322,488,0.043,0.1,,63,61,1,0.386,0.56,0.053,1.556,0.857,,
Africa,"Gambia, The",0.043,2.921,473,27,,0.95,0.047,27,376,0.052,0.1,0.27,59,57,0.9,0.46,0.515,0.025,1.681,0.563,80,11
Africa,Ghana,0.032,0.325,8999,12,10011,32.17,0.053,70,224,0.055,0.1,,62,60,0.7,0.39,0.575,0.035,24.263,0.507,706,882
Africa,Guinea,0.038,0.879,1236,40,,4.74,0.062,27,416,0.071,0,,56,55,0.4,0.428,0.54,0.032,10.876,0.349,2,17
Africa,Guinea-Bissau,0.039,0.459,238,216,,0.84,0.071,38,208,0.085,0,,55,52,0.4,0.419,0.551,0.03,1.587,0.452,14,29.5
Africa,Kenya,0.037,0.493,12427,33,19719,32.44,0.044,35,393,0.052,0.1,0.144,61,58,0.6,0.426,0.548,0.026,40.909,0.236,1620,212
Africa,Lesotho,0.028,0.196,18,40,,2.18,0.108,118,324,0.077,0,0.112,48,47,0.5,0.376,0.581,0.043,2.009,0.248,25,278
Africa,Liberia,0.037,0.429,799,20,,1.29,0.131,43,141,0.06,0,0.142,60,59,0.4,0.433,0.536,0.031,3.958,0.478,12,134
Africa,Libya,0.022,,59035,,21611,74.76,0.033,389,,0.014,0.1,0.06,77,73,1.8,0.294,0.66,0.046,6.041,0.776,170,2184
Africa,Madagascar,0.035,0.377,2013,7,,8.70,0.045,19,201,0.044,0,0.49,65,62,0.4,0.434,0.537,0.028,21.080,0.319,633,110
Africa,Malawi,0.041,0.259,1239,39,,5.40,0.085,30,157,0.053,0,0.246,54,53,0.2,0.458,0.511,0.031,15.014,0.155,47,93
Africa,Mali,0.048,0.514,623,8,,9.42,0.069,46,270,0.083,0,,54,54,0.5,0.468,0.503,0.029,13.986,0.36,296,235
Africa,Mauritania,0.035,0.682,2215,19,,3.53,0.06,58,696,0.07,0,0.17,63,60,0.8,0.406,0.563,0.031,3.609,0.567,,
Africa,Mauritius,0.012,0.272,4118,6,,9.72,0.054,427,161,0.013,0.3,0.089,77,69,1,0.212,0.711,0.077,1.281,0.406,1585,423
Africa,Morocco,0.022,0.496,50608,12,16183,90.77,0.059,168,358,0.029,0.5,,72,68,1,0.281,0.669,0.05,31.642,0.577,8176,1879
Africa,Mozambique,0.041,0.375,2882,13,9875,9.27,0.057,22,230,0.072,0,0.163,50,48,0.3,0.453,0.514,0.032,23.967,0.31,224,260
Africa,Namibia,0.027,0.223,3176,66,1552,11.14,0.082,416,339,0.038,0.1,0.097,65,60,0.9,0.377,0.589,0.034,2.179,0.416,560,145
Africa,Niger,0.05,0.465,1412,17,,5.72,0.069,24,270,0.066,0,,57,57,0.2,0.498,0.476,0.026,15.894,0.176,86,
Africa,Nigeria,0.042,0.322,78910,25,115138,369.06,0.056,80,938,0.082,0.2,0.176,52,51,0.5,0.44,0.532,0.027,159.708,0.435,738,8379
Africa,Rwanda,0.037,0.310,594,3,,5.62,0.108,56,148,0.044,0.1,0.167,64,61,0.3,0.447,0.53,0.023,10.837,0.24,224,120
Africa,Sao Tome and Principe,0.036,0.333,99,144,,0.20,0.071,86,424,0.04,0.2,0.289,68,64,0.6,0.416,0.548,0.036,0.178,0.619,11,0.6
Africa,Senegal,0.039,0.455,7059,9,3426,12.93,0.048,48,666,0.047,0.2,,64,61,0.6,0.436,0.533,0.031,12.951,0.422,464,217
Africa,Seychelles,0.017,0.441,704,39,,0.97,0.037,394,76,0.012,0.4,0.127,78,69,1.3,0.223,0.701,0.076,0.090,0.523,29,5
Africa,Sierra Leone,0.038,2.352,689,12,,2.58,0.154,69,357,0.114,0,0.213,45,45,0.3,0.422,0.553,0.026,5.752,0.382,26,22
Africa,Somalia,0.045,,609,,,,,,,0.097,,,56,52,0.1,0.477,0.495,0.028,9.636,0.373,,
Africa,South Africa,0.022,0.300,460124,22,142291,365.21,0.087,615,200,0.035,0.2,0.098,56,53,1,0.297,0.651,0.052,50.896,0.622,10308,8139
Africa,South Sudan,0.037,,,,,16.34,0.021,32,,0.071,,,54,52,,0.428,0.538,0.034,9.941,0.179,,
Africa,Sudan,0.035,0.361,14173,36,16605,65.63,0.065,119,180,0.055,0.2,,63,60,0.4,0.421,0.548,0.031,35.652,0.331,94,1116
Africa,Swaziland,0.031,0.365,1023,56,,3.89,0.084,261,104,0.063,0.1,0.098,48,49,0.6,0.388,0.578,0.033,1.193,0.215,51,87
Africa,Tanzania,0.041,0.444,6846,26,20043,22.92,0.072,37,172,0.041,0,0.145,60,58,0.5,0.448,0.52,0.031,44.973,0.281,1279,861
Africa,Togo,0.037,0.503,1540,84,2692,3.17,0.075,37,270,0.061,0,,56,55,0.4,0.421,0.552,0.027,6.306,0.375,105,89
Africa,Tunisia,0.019,0.623,25878,11,9674,44.05,0.067,282,144,0.015,0.4,,77,73,1,0.235,0.696,0.069,10.549,0.659,3477,611
Africa,Uganda,0.045,0.350,3784,24,,16.03,0.092,43,161,0.051,0.1,0.202,58,56,0.4,0.489,0.487,0.024,33.987,0.145,802,464
Africa,Zambia,0.043,0.143,2428,18,8054,16.19,0.061,75,183,0.064,0.1,0.209,56,53,0.4,0.469,0.504,0.027,13.217,0.387,125,128
Africa,Zimbabwe,0.032,0.391,9428,90,9000,9.46,,,242,0.059,0.1,,54,53,0.6,0.412,0.548,0.04,13.077,0.332,634,
Asia,Afghanistan,0.038,0.363,8236,7,,15.94,0.087,43,275,0.075,0,0.157,61,58,0.5,0.486,0.492,0.022,28.398,0.247,138,86
Asia,Armenia,0.014,0.386,4221,14,2483,9.26,0.046,143,581,0.016,0.3,0.192,78,71,1.3,0.205,0.689,0.105,2.963,0.636,456,466
Asia,Azerbaijan,0.018,0.409,45731,8,11586,52.90,0.053,310,306,0.034,0.5,0.207,74,67,1,0.227,0.714,0.059,9.054,0.534,792,856
Asia,Bangladesh,0.021,0.350,56153,19,30756,100.36,0.037,24,302,0.039,0,0.13,70,69,0.4,0.317,0.637,0.046,151.125,0.305,103,835
Asia,Bhutan,0.021,0.408,477,46,,1.59,0.041,90,274,0.034,0.1,0.14,67,67,0.6,0.298,0.657,0.045,0.717,0.348,64,43
Asia,Brunei Darussalam,0.017,0.173,9160,105,3240,12.37,0.027,844,144,0.008,0.5,0.055,80,76,1.1,0.266,0.697,0.037,0.401,0.755,,
Asia,Cambodia,0.026,0.214,4180,102,5024,11.24,0.058,46,173,0.037,0,,73,68,0.6,0.318,0.631,0.05,14.365,0.198,1332,268
Asia,China,0.012,0.635,8286892,38,2516731,5930.50,0.05,216,358,0.014,0.3,0.058,76,74,0.6,0.181,0.735,0.084,1337.705,0.492,50154,59840
Asia,Georgia,0.014,0.153,6241,3,3122,11.64,0.101,267,387,0.015,0.3,0.158,77,70,0.9,0.173,0.685,0.142,4.453,0.529,737,329
Asia,"Hong Kong SAR, China",0.013,0.230,36289,6,13838,228.64,,,80,,0.7,0.05,86,80,2,0.121,0.75,0.129,7.024,1,27208,17503
Asia,India,0.021,0.649,2008823,29,723743,1708.46,0.037,52,258,0.046,0.1,0.083,67,64,0.6,0.302,0.648,0.051,1205.625,0.309,14490,10490
Asia,Indonesia,0.02,0.322,433989,50,211296,709.19,0.029,86,266,0.027,0.1,0.133,72,68,0.9,0.298,0.652,0.05,240.676,0.499,7618,8432
Asia,Japan,0.009,0.476,1170715,22,499092,5495.39,0.096,4115,355,0.002,0.8,0.016,86,80,1,0.133,0.638,0.23,127.450,0.905,15356,39306
Asia,Kazakhstan,0.023,0.286,248729,19,74443,148.05,0.043,398,271,0.019,0.3,,73,64,1.2,0.249,0.684,0.067,16.322,0.537,1236,1489
Asia,"Korea, Dem. Rep.",0.014,,71624,,18794,,,,,0.025,,,72,66,0,0.227,0.686,0.088,24.501,0.602,,
Asia,"Korea, Rep.",0.009,0.288,567567,14,249964,1094.50,0.073,1498,250,0.004,0.8,0.055,84,77,1,0.162,0.727,0.111,49.410,0.819,14398,20802
Asia,Kyrgyz Republic,0.027,0.306,6399,10,2805,4.79,0.067,60,202,0.027,0.2,0.315,74,65,1,0.3,0.655,0.044,5.448,0.353,336,398
Asia,Lao PDR,0.028,0.323,1874,93,,7.18,0.026,29,362,0.059,0.1,0.226,68,66,0.6,0.368,0.595,0.037,6.396,0.331,385,215
Asia,"Macao SAR, China",0.009,,1030,,,28.36,,,,,0.6,0.053,82,77,2.1,0.127,0.801,0.072,0.535,1,28214,1237
Asia,Malaysia,0.018,0.337,216804,17,72645,247.53,0.04,345,145,0.007,0.6,0.05,77,72,1.2,0.277,0.675,0.048,28.276,0.709,18152,8324
Asia,Maldives,0.022,0.093,1074,9,,2.13,0.058,379,,0.011,0.3,0.104,78,76,1.5,0.3,0.65,0.05,0.326,0.4,1713,252
Asia,Mongolia,0.023,0.243,11511,13,3454,6.20,0.063,143,192,0.029,0.1,0.201,71,63,0.9,0.27,0.692,0.038,2.713,0.676,288,319
Asia,Myanmar,0.018,,8995,,13997,,0.019,15,,0.044,0,0.17,67,63,0,0.261,0.688,0.051,51.931,0.314,91,53
Asia,Nepal,0.023,0.317,3755,31,10218,15.99,0.059,36,338,0.036,0.1,0.08,68,66,0.3,0.371,0.58,0.049,26.846,0.168,378,528
Asia,Pakistan,0.027,0.309,161396,21,84311,177.17,0.03,30,560,0.073,0.1,0.14,67,65,0.6,0.354,0.602,0.043,173.149,0.366,998,1370
Asia,Philippines,0.025,0.438,81591,37,40512,199.59,0.042,90,195,0.025,0.3,0.077,72,65,0.9,0.353,0.61,0.037,93.444,0.453,3228,4194
Asia,Singapore,0.009,0.254,13520,3,34280,236.42,0.041,1893,84,0.002,0.7,0.054,84,79,1.5,0.173,0.736,0.09,5.077,1,14178,18700
Asia,Sri Lanka,0.018,0.966,12710,37,9844,49.57,0.034,82,256,0.009,0.1,0.102,77,71,0.8,0.251,0.671,0.078,20.653,0.183,1044,828
Asia,Tajikistan,0.033,0.840,2860,27,2370,5.64,0.06,44,224,0.045,0.1,0.242,70,64,0.8,0.359,0.608,0.033,7.627,0.265,32,17.8
Asia,Thailand,0.011,0.369,295282,32,117429,318.91,0.038,183,264,0.013,0.2,0.059,77,71,1.1,0.193,0.718,0.089,66.402,0.441,23809,7151
Asia,Timor-Leste,0.036,0.110,183,110,,0.93,0.056,46,276,0.052,0,0.11,68,64,0.4,0.473,0.496,0.031,1.066,0.295,31,68
Asia,Turkmenistan,0.022,,53054,,22675,22.15,0.021,95,,0.051,0,,69,61,0.6,0.292,0.666,0.041,5.042,0.484,,
Asia,Uzbekistan,0.023,0.956,104443,15,43747,39.33,0.054,75,205,0.04,0.2,,71,65,0.8,0.298,0.658,0.044,28.562,0.362,121,
Asia,Vietnam,0.016,0.329,150230,38,58912,115.93,0.069,83,941,0.021,0.3,0.131,80,71,1.3,0.235,0.7,0.065,86.933,0.304,4450,1470
Europe,Albania,0.013,0.331,4283,6,2059,11.93,0.055,207,360,0.015,0.5,0.128,80,74,0.9,0.228,0.671,0.101,2.857,0.522,1780,1454
Europe,Andorra,0.01,,517,,,,0.072,2958,,0.002,0.8,,,,0.8,,,,0.078,0.878,,
Europe,Austria,0.009,0.532,66897,25,34228,377.68,0.116,5272,170,0.004,0.8,,83,78,1.5,0.148,0.674,0.178,8.390,0.659,20980,12213
Europe,Belarus,0.011,0.805,62222,10,27686,55.22,0.056,323,798,0.005,0.3,0.092,77,65,1.1,0.148,0.712,0.139,9.490,0.746,665,748
Europe,Belgium,0.012,0.567,108947,4,60892,471.22,0.105,4570,156,0.004,0.8,,83,78,1.1,0.168,0.661,0.172,10.920,0.976,11624,20876
Europe,Bosnia and Herzegovina,0.009,0.222,31125,64,6451,16.78,0.098,427,422,0.007,0.5,0.079,78,73,0.8,0.174,0.675,0.151,3.846,0.392,662,247
Europe,Bulgaria,0.01,0.280,44679,18,17897,47.73,0.076,480,616,0.011,0.5,0.111,77,70,1.4,0.133,0.683,0.183,7.396,0.723,4035,1382
Europe,Croatia,0.01,0.221,20884,9,8564,58.87,0.078,1051,196,0.005,0.6,0.104,80,74,1.1,0.153,0.672,0.175,4.418,0.575,8255,859
Europe,Cyprus,0.012,0.223,7708,8,2443,23.13,0.074,2012,149,0.003,0.5,,81,77,0.9,0.178,0.707,0.116,1.104,0.676,2371,1457
Europe,Czech Republic,0.011,0.480,111752,20,44043,198.49,0.074,1404,557,0.003,0.7,0.059,81,74,1.2,0.142,0.704,0.154,10.474,0.733,8017,4166
Europe,Denmark,0.011,0.281,46303,6,19307,312.95,0.111,6266,135,0.003,0.9,,81,77,1.2,0.18,0.654,0.167,5.548,0.868,5704,9082
Europe,Estonia,0.012,0.486,18339,7,5568,19.03,0.063,894,81,0.004,0.7,0.078,81,71,1.3,0.154,0.671,0.175,1.331,0.681,1412,723
Europe,Faeroe Islands,,,711,,,,,,,,0.8,,84,79,1.2,,,,0.050,0.409,,
Europe,Finland,0.011,0.408,61844,14,36429,236.71,0.09,3978,243,0.003,0.9,,83,77,1.6,0.165,0.664,0.171,5.363,0.836,4510,5267
Europe,France,0.013,0.648,361273,7,261157,2565.04,0.117,4634,132,0.004,0.8,,85,78,0.9,0.184,0.648,0.168,65.023,0.783,56139,46157
Europe,Germany,0.008,0.470,745384,15,329769,3304.44,0.115,4668,215,0.004,0.8,,83,78,1.1,0.134,0.658,0.208,81.777,0.743,49108,91166
Europe,Greece,0.01,0.467,86717,19,27615,294.22,0.094,2442,224,0.004,0.4,,83,78,1.1,0.145,0.665,0.19,11.153,0.763,12579,2874
Europe,Hungary,0.009,0.546,50583,4,25667,127.50,0.08,1026,277,0.006,0.7,0.076,78,71,1.2,0.146,0.686,0.167,10.000,0.689,6338,2879
Europe,Iceland,0.015,0.261,1962,5,5369,12.56,0.094,3730,140,0.002,0.9,0.103,84,80,1.1,0.209,0.669,0.121,0.318,0.936,562,599
Europe,Ireland,0.017,0.253,40000,13,14219,209.39,0.093,4320,76,0.004,0.7,,83,79,1.1,0.213,0.673,0.113,4.560,0.618,8187,7178
Europe,Isle of Man,,,,,,,,,,,,,,,,,,,0.084,0.52,,
Europe,Italy,0.009,0.677,406307,6,170239,2055.36,0.094,3205,285,0.003,0.5,0.04,85,80,1.5,0.14,0.657,0.203,59.277,0.683,40058,33053
Europe,Kosovo,0.019,0.165,,58,2496,5.74,,,163,,,0.143,72,68,,0.275,0.659,0.067,1.776,,,
Europe,Latvia,0.009,0.376,7616,16,4644,24.01,0.065,742,293,0.008,0.7,0.096,78,69,1.1,0.142,0.675,0.184,2.098,0.677,963,771
Europe,Liechtenstein,0.009,,,,,,,,,,0.8,,84,80,1,,,,0.036,0.145,,
Europe,Lithuania,0.012,0.451,13561,22,7052,36.71,0.07,782,175,0.006,0.6,0.06,79,68,1.6,0.152,0.693,0.155,3.097,0.668,1034,936
Europe,Luxembourg,0.012,0.200,10829,19,4220,52.05,0.072,7592,59,0.002,0.9,,84,78,1.4,0.176,0.684,0.14,0.507,0.885,4115,3549
Europe,"Macedonia, FYR",0.011,0.083,10873,3,2883,9.34,0.07,309,119,0.009,0.5,0.095,77,73,1,0.174,0.709,0.117,2.102,0.57,209,141
Europe,Malta,0.009,,2589,,848,8.16,0.085,1707,,0.006,0.6,0.046,84,79,1.1,0.156,0.699,0.145,0.415,0.947,1238,366
Europe,Moldova,0.012,0.304,4855,10,3426,5.81,0.117,190,228,0.015,0.3,0.164,72,65,0.7,0.167,0.722,0.112,3.562,0.449,232,324
Europe,Monaco,,,,,,5.35,0.044,6431,,0.003,0.8,,,,0.6,,,,0.037,1,,
Europe,Montenegro,0.012,0.254,2582,10,1174,4.11,0.072,476,372,0.006,0.4,0.095,77,72,1.9,0.195,0.681,0.125,0.620,0.631,765,72
Europe,Netherlands,0.011,0.394,182078,8,83426,777.16,0.121,5676,134,0.004,0.9,0.018,83,79,1.2,0.175,0.671,0.154,16.615,0.871,18690,19772
Europe,Norway,0.013,0.407,57187,7,32338,420.95,0.1,8694,87,0.003,0.9,,83,79,1.1,0.188,0.662,0.15,4.889,0.791,5299,14658
Europe,Poland,0.011,0.401,317254,32,101539,469.80,0.07,860,325,0.005,0.6,,81,72,1.2,0.15,0.715,0.135,38.184,0.609,9986,9100
Europe,Portugal,0.01,0.426,52361,5,23541,228.94,0.108,2324,298,0.003,0.5,,82,76,1.2,0.151,0.668,0.18,10.573,0.606,12969,4691
Europe,Romania,0.011,0.435,78745,9,35031,164.79,0.059,457,222,0.012,0.4,0.141,77,70,1.1,0.15,0.701,0.148,20.247,0.538,1631,1896
Europe,Russian Federation,0.013,0.465,1740776,29,702292,1524.92,0.063,669,320,0.01,0.4,0.108,75,63,1.7,0.149,0.72,0.131,142.386,0.737,13239,30169
Europe,San Marino,0.011,,,,,,0.053,3319,,0.003,,0.054,86,80,1,,,,0.031,0.941,,
Europe,Serbia,0.009,0.340,45962,13,15536,36.99,0.107,546,279,0.007,0.4,0.173,77,71,1.3,0.169,0.694,0.137,7.291,0.552,951,1106
Europe,Slovak Republic,0.011,0.474,36094,18,17828,87.08,0.09,1446,257,0.007,0.8,,79,72,1.1,0.151,0.726,0.123,5.391,0.547,2335,2146
Europe,Slovenia,0.011,0.346,15328,6,7230,47.00,0.089,2044,260,0.003,0.7,,83,76,1,0.14,0.693,0.167,2.049,0.5,2721,1377
Europe,Spain,0.01,0.568,269675,47,127749,1384.84,0.096,2902,197,0.004,0.7,,85,79,1.1,0.149,0.68,0.171,46.577,0.784,59042,22733
Europe,Sweden,0.012,0.520,52515,16,51315,463.06,0.095,4694,122,0.003,0.9,,84,80,1.2,0.165,0.653,0.182,9.378,0.851,10991,14912
Europe,Switzerland,0.01,0.288,38757,18,26199,549.10,0.109,7697,63,0.004,0.8,0.027,85,80,1.2,0.151,0.68,0.169,7.825,0.737,17614,13528
Europe,Turkey,0.018,0.433,298002,6,105133,731.17,0.068,680,226,0.02,0.4,,78,71,0.9,0.267,0.662,0.071,72.138,0.707,26318,5817
Europe,Ukraine,0.011,0.555,304805,27,132308,136.42,0.078,231,657,0.01,0.2,0.159,76,65,1.2,0.139,0.703,0.158,45.871,0.687,4696,4134
Europe,United Kingdom,0.013,0.361,493505,12,201829,2295.52,0.096,3489,110,0.004,0.9,0.005,82,79,1.2,0.176,0.659,0.166,62.766,0.813,40746,61368
Middle East,Bahrain,0.016,0.135,24202,9,9472,25.71,0.043,747,36,0.007,0.6,0.072,77,76,1.3,0.199,0.781,0.02,1.252,0.885,2163,684
Middle East,"Iran, Islamic Rep.",0.019,0.441,571612,11,210678,422.57,0.073,416,344,0.016,0.1,0.12,75,71,0.7,0.236,0.712,0.052,74.462,0.706,2631,10570
Middle East,Iraq,0.032,0.278,114667,32,37845,142.81,0.031,141,312,0.03,0,0.133,73,65,0.8,0.412,0.554,0.034,30.962,0.69,1736,1675
Middle East,Israel,0.022,0.311,70656,20,23195,231.67,0.076,2165,235,0.004,0.7,0.05,84,80,1.2,0.272,0.623,0.104,7.624,0.918,5824,4725
Middle East,Jordan,0.029,0.312,20821,12,7105,26.43,0.085,361,136,0.018,0.3,0.09,75,72,1,0.351,0.615,0.034,6.046,0.825,4390,1736
Middle East,Kuwait,0.021,0.107,93696,35,32586,119.93,0.028,1116,98,0.009,0.6,0.049,75,73,1.3,0.252,0.726,0.021,2.992,0.983,574,7106
Middle East,Lebanon,0.013,0.302,20403,9,6382,38.01,0.072,620,180,0.009,0.4,0.083,81,77,0.7,0.237,0.678,0.084,4.341,0.872,8026,4868
Middle East,Oman,0.022,0.216,57202,12,23158,58.81,0.028,582,62,0.01,0.4,0.068,78,74,1.6,0.274,0.701,0.025,2.803,0.752,1246,1768
Middle East,Qatar,0.012,0.113,70531,10,28973,125.12,0.021,1496,36,0.008,0.7,0.073,79,77,1.3,0.137,0.852,0.011,1.750,0.987,,
Middle East,Saudi Arabia,0.021,0.145,464481,21,192004,526.81,0.04,663,79,0.015,0.4,,77,73,1.9,0.307,0.663,0.03,27.258,0.821,7536,22076
Middle East,Syrian Arab Republic,0.025,0.397,61859,13,21649,,0.034,97,336,0.013,0.2,0.099,78,72,0.5,0.357,0.605,0.037,21.533,0.557,6308,1598
Middle East,United Arab Emirates,0.016,0.141,167597,15,63099,287.42,0.032,1283,12,0.008,0.7,,78,76,1.3,0.139,0.858,0.003,8.442,0.841,8577,11818
Middle East,"Yemen, Rep.",0.032,0.478,21852,12,8360,31.74,0.051,66,248,0.046,0.1,0.238,64,61,0.5,0.42,0.553,0.027,22.763,0.317,1161,252
Oceania,American Samoa,0.019,,,,,,,,,,,,,,,,,,0.056,0.876,,
Oceania,Australia,0.014,0.475,373081,3,122512,1141.79,0.089,5138,109,0.004,0.8,0.073,84,80,1,0.189,0.676,0.134,22.032,0.887,32336,27534
Oceania,Fiji,0.022,0.393,1291,46,,3.23,0.042,154,163,0.02,0.2,0.075,72,66,0.8,0.29,0.661,0.048,0.861,0.518,809,100
Oceania,French Polynesia,0.017,,884,,,,,,,,0.5,,78,73,0.8,0.238,0.695,0.068,0.268,0.565,405,160
Oceania,Guam,0.018,,,,,,,,,,0.5,,81,75,,0.275,0.652,0.073,0.159,0.941,,
Oceania,Kiribati,0.023,0.318,62,31,,0.15,0.112,162,120,0.048,0.1,,71,65,0.1,0.336,0.626,0.039,0.098,0.438,,
Oceania,Marshall Islands,,0.648,103,17,,0.16,0.16,542,128,0.032,0.1,,,,,,,,0.052,0.713,3,
Oceania,"Micronesia, Fed. Sts.",0.024,0.587,103,16,,0.29,0.138,393,128,0.033,0.2,0.151,69,68,0.3,0.369,0.593,0.038,0.104,0.223,29,8
Oceania,New Caledonia,0.017,,3920,,,,,,,,0.4,,79,73,0.9,0.235,0.67,0.095,0.250,0.673,129,179
Oceania,New Zealand,0.015,0.347,31551,1,18287,143.47,0.102,3260,172,0.005,0.8,0.063,83,79,1.1,0.205,0.665,0.13,4.368,0.862,4904,3037
Oceania,Papua New Guinea,0.03,0.421,3135,51,,9.48,0.041,57,194,0.051,0,0.104,64,60,0.3,0.391,0.582,0.028,6.859,0.13,3,138
Oceania,Samoa,0.028,0.189,161,9,,0.57,0.064,201,224,0.016,0.1,0.107,76,69,,0.383,0.567,0.051,0.186,0.201,124,25.2
Oceania,Solomon Islands,0.033,0.262,202,56,,0.68,0.074,95,80,0.027,0.1,0.144,68,66,0.2,0.408,0.56,0.033,0.526,0.2,65,51.2
Oceania,Tonga,0.027,0.254,158,25,,0.37,0.048,172,164,0.012,0.2,0.115,75,69,0.5,0.375,0.567,0.059,0.104,0.234,,
Oceania,Vanuatu,0.027,0.084,117,47,,0.70,0.047,139,120,0.016,0.1,0.055,73,69,0.7,0.382,0.579,0.039,0.236,0.246,242,33
The Americas,Antigua and Barbuda,0.017,0.410,513,21,,1.14,0.057,736,207,0.009,0.5,0.11,78,73,1.9,0.262,0.665,0.072,0.087,0.262,298,52
The Americas,Argentina,0.017,1.076,180512,25,78162,462.70,0.082,751,453,0.013,0.5,0.106,79,72,1.4,0.249,0.645,0.106,40.374,0.91,5629,6375
The Americas,Aruba,0.011,,2321,,,2.47,,,,,0.6,0.107,77,73,1.3,0.208,0.689,0.103,0.102,0.431,1256,264
The Americas,"Bahamas, The",0.016,0.449,2464,24,,7.89,0.074,1626,58,0.011,0.4,0.055,78,72,1.2,0.225,0.706,0.07,0.360,0.825,2159,369
The Americas,Barbados,0.013,,1503,,,4.43,0.067,978,,0.014,0.7,0.087,77,72,1.2,0.193,0.703,0.104,0.280,0.321,1074,351
The Americas,Belize,0.024,0.332,422,44,,1.40,0.058,265,147,0.016,0.1,0.139,76,70,0.6,0.355,0.606,0.039,0.309,0.45,264,39
The Americas,Bermuda,0.012,,477,,,5.74,,,,,0.8,,82,77,1.4,,,,0.065,1,442,417
The Americas,Bolivia,0.026,0.800,15456,49,7341,19.65,0.055,106,1080,0.035,0.2,0.099,69,64,0.7,0.36,0.593,0.047,10.157,0.664,339,421
The Americas,Brazil,0.016,0.663,419754,119,265887,2143.07,0.09,989,2600,0.015,0.4,0.4,77,70,1,0.255,0.676,0.069,195.210,0.843,6180,19340
