Product ID,Type,Air Temp,Proc Temp,Rtn Speed,Torque,Tool Wear,Failure?
L48969,L,298.2,307.9,1313,67.3,67,Yes
L48988,L,298.1,307.7,2567,12.8,125,Yes
L49013,L,297.8,307.3,1327,61,186,Yes
M16856,M,298.4,308,1416,38.2,198,Yes
L49195,L,298.5,308.2,1301,66.3,42,Yes
L49252,L,299.6,309.5,1570,35.5,189,Yes
L49255,L,299.5,309.4,1390,58.8,195,Yes
L49305,L,299.3,308.9,1258,69.4,119,Yes
M17026,M,299.6,309.2,1867,23.4,225,Yes
L49413,L,299.5,308.7,2549,13,179,Yes
M17104,M,299.3,308.4,1542,37.5,203,Yes
L49479,L,299.4,308.7,1446,62.9,134,Yes
L49511,L,299.3,308.6,1384,53.6,218,Yes
L49512,L,299.2,308.5,1378,50.4,220,Yes
M17286,M,298.9,308.2,1372,63.6,30,Yes
L49624,L,299.2,308.6,1267,68.2,76,Yes
L49674,L,299.1,308.8,1329,53.6,207,Yes
L49682,L,299.2,309,1515,48.9,228,Yes
L49739,L,299.3,309,1447,50.4,140,Yes
L49761,L,299.2,309.1,1345,60.7,191,Yes
L49778,L,299.1,308.8,1320,67.5,20,Yes
M17531,M,299.7,309.3,1399,41.9,221,Yes
L49941,L,299.8,309.3,1299,65.1,212,Yes
L50038,L,300.5,309.3,1417,51.5,231,Yes
H32278,H,300.6,309.4,1380,47.6,246,Yes
M17739,M,300.6,309.4,1367,63.2,45,Yes
M17801,M,300.7,309.6,1996,19.8,203,Yes
H32414,H,300.5,309.8,1324,72.8,159,Yes
L50199,L,300.5,309.8,1379,54.2,207,Yes
M17925,M,300.1,309.2,1687,27.7,95,Yes
H32554,H,300.4,309.9,2563,12.8,81,Yes
M18096,M,300.8,309.4,1342,62.4,113,Yes
L50446,L,301.3,310.1,1269,56.8,195,Yes
L50530,L,301.4,310.8,1285,62.6,183,Yes
L50536,L,301.6,310.8,1355,57.8,195,Yes
L50549,L,301.5,310.9,2760,8,15,Yes
H32866,H,301.6,310.5,1602,32.3,2,Yes
M18317,M,301.5,310.4,2639,12,21,Yes
L50708,L,302,310.9,1378,53.1,212,Yes
L50709,L,301.9,310.9,1567,39,214,Yes
L50759,L,301.8,310.6,2672,11.8,124,Yes
L50791,L,301.7,310.9,1405,46.4,207,Yes
L50864,L,302,311.2,1270,65.3,182,Yes
L50875,L,302.2,311.3,1530,37.3,207,Yes
L50940,L,302.3,310.9,1377,46.8,166,Yes
L50967,L,302.3,310.8,1377,47.3,22,Yes
L50973,L,302.3,310.9,1379,49.3,34,Yes
M18666,M,302.3,310.9,1360,44,67,Yes
M18674,M,302.1,310.6,1326,59.1,88,Yes
H33243,H,302.3,310.9,1366,48.4,130,Yes
L51034,L,302.4,311,1338,67.6,194,Yes
H33279,H,302.6,311.5,1629,34.4,228,Yes
M18727,M,302.7,311.6,2709,9.7,2,Yes
L51108,L,302.6,311.5,1442,59.8,169,Yes
M18795,M,302.6,311.6,1227,68.2,187,Yes
L51123,L,302.3,311.4,1333,66.7,205,Yes
L51182,L,302.1,311.2,1454,59.2,153,Yes
M18884,M,302.1,311,1351,60.3,207,Yes
L51212,L,302,310.8,1383,50.3,231,Yes
L51214,L,302,310.8,1615,29,235,Yes
L51228,L,301.9,311,2691,12.1,31,Yes
L51251,L,301.9,310.6,1331,68.6,85,Yes
H33492,H,302.1,310.7,1294,62.4,101,Yes
L51260,L,302,310.4,1357,58,108,Yes
L51261,L,302,310.4,1336,58.2,110,Yes
L51267,L,301.9,310.4,1376,54.9,126,Yes
L51276,L,301.9,310.4,1370,51.7,153,Yes
L51297,L,301.9,310.5,1340,55.7,204,Yes
L51299,L,302.1,310.7,1325,45.1,208,Yes
M18980,M,302.1,310.7,1376,46.3,210,Yes
M18981,M,302.1,310.7,1364,47.8,213,Yes
L51310,L,301.9,310.4,1286,62.8,22,Yes
L51318,L,301.7,310.2,1311,57.4,40,Yes
L51320,L,301.7,310.2,1331,61.2,47,Yes
M19011,M,301.9,310.4,1373,48,73,Yes
M19013,M,302,310.4,1212,55.6,79,Yes
L51335,L,302,310.5,1370,44.4,85,Yes
L51337,L,302,310.5,1263,60.6,90,Yes
L51344,L,302.2,310.6,1346,47.5,109,Yes
M19030,M,302.2,310.6,1355,51.5,126,Yes
M19033,M,302.2,310.6,1346,49.2,134,Yes
L51359,L,302.4,310.9,1349,46.1,148,Yes
L51362,L,302.4,310.7,1362,54.8,155,Yes
L51364,L,302.2,310.6,1334,53.2,159,Yes
L51365,L,302.2,310.6,1348,48.4,161,Yes
M19067,M,302.3,310.9,1710,30.4,218,Yes
L51391,L,302.1,310.7,1314,52.8,8,Yes
L51405,L,302.1,310.7,1359,49.3,41,Yes
L51427,L,302.6,311,1369,60,93,Yes
L51429,L,302.5,310.9,1330,56.9,97,Yes
H33665,H,302.5,310.9,1356,55.5,101,Yes
M19113,M,302.6,311,1329,48.6,111,Yes
L51434,L,302.6,311,1284,68,114,Yes
M19118,M,302.7,311.1,1297,60.7,125,Yes
L51450,L,302.6,310.9,1331,52,154,Yes
L51459,L,302,310.1,1361,45.4,174,Yes
L51462,L,301.9,309.9,1374,48.5,180,Yes
M19143,M,301.8,309.9,1334,61,182,Yes
L51465,L,301.7,309.9,1317,49,187,Yes
M19152,M,301.8,310.1,2372,13.9,205,Yes
L51476,L,301.8,310.2,2825,5.8,215,Yes
L51487,L,301.4,309.9,1259,63.9,20,Yes
L51503,L,301.8,310.3,1341,50.5,64,Yes
L51506,L,301.6,310.1,1362,55.8,70,Yes
L51508,L,301.6,310.1,1326,48.2,77,Yes
M19202,M,301.7,309.8,1284,68.2,111,Yes
M19213,M,302,309.7,1386,62.7,142,Yes
H33769,H,302,309.8,1280,57.3,147,Yes
M19221,M,302.1,310.1,1379,48.2,166,Yes
L51550,L,302,309.9,1308,57.6,197,Yes
L51563,L,301.7,309.5,1298,65.5,229,Yes
L51565,L,301.8,309.7,1442,45.3,233,Yes
M19249,M,302.1,310,1355,45.1,6,Yes
M19251,M,302.2,310.1,1368,51.6,12,Yes
L51580,L,302.3,310.1,1353,50.9,36,Yes
L51585,L,302.4,310.2,1331,45.5,53,Yes
L51586,L,302.5,310.3,1326,58.5,55,Yes
M19269,M,302.4,310.1,1358,54.6,61,Yes
L51597,L,302.6,310.4,1365,66.8,80,Yes
M19279,M,302.6,310.2,2676,10.8,84,Yes
L51601,L,302.6,310.2,1325,62.4,92,Yes
M19287,M,302.4,310.1,1379,48.9,107,Yes
L51615,L,302.3,310.1,1321,52.7,134,Yes
L51621,L,302.5,310.2,1329,50.6,148,Yes
L51628,L,302.4,310.3,1374,51.2,163,Yes
M19309,M,302.4,310.3,1378,54.3,165,Yes
L51642,L,302.7,310.5,1263,67.8,197,Yes
L51649,L,302.7,310.5,1446,40.9,211,Yes
L51655,L,302.7,310.5,1351,41.8,10,Yes
H33894,H,302.7,310.4,1305,55.2,20,Yes
L51675,L,302.6,310.4,1359,57.2,67,Yes
L51681,L,302.5,310.2,1307,54,86,Yes
L51690,L,302.4,310.2,1346,62.4,106,Yes
M19387,M,302.4,310.5,1372,45.7,144,Yes
M19393,M,302.4,310.3,1375,52.5,161,Yes
L51716,L,302.4,310.2,1351,45.1,168,Yes
L51724,L,302.5,310.4,1349,55.1,187,Yes
M19416,M,302.7,310.6,1349,51.2,6,Yes
L51738,L,302.7,310.7,1369,47.5,11,Yes
H33979,H,302.7,310.8,1275,55,25,Yes
L51750,L,302.8,310.9,1312,52.2,40,Yes
L51759,L,303,311.2,1374,48.2,65,Yes
L51776,L,303,311.2,1361,47.6,106,Yes
L51780,L,303,311,1359,44.2,115,Yes
M19461,M,303,311.1,1372,54.3,117,Yes
L51791,L,303,311.3,1365,56.2,146,Yes
M19478,M,303,311.3,1335,53.6,164,Yes
L51800,L,303.1,311.3,1336,52.6,172,Yes
L51801,L,303,311.2,1341,51,174,Yes
M19492,M,302.9,311.2,1330,53.7,200,Yes
L51822,L,303.2,311.4,1238,54.6,226,Yes
L51823,L,303.2,311.4,1324,54.2,228,Yes
L51826,L,303.3,311.4,1497,46,234,Yes
L51831,L,303.2,311.4,1349,51.1,9,Yes
L51841,L,303.3,311.3,1350,48.1,32,Yes
M19525,M,303.4,311.4,1307,54,44,Yes
M19529,M,303.3,311.5,1373,47.3,60,Yes
L51882,L,303.6,311.8,1222,66.8,148,Yes
L51898,L,303.3,311.6,1337,56.8,187,Yes
M19580,M,303.4,311.7,1353,44.1,192,Yes
L51903,L,303.4,311.8,1366,50.9,200,Yes
M19587,M,303.4,311.8,1341,47,210,Yes
L51909,L,303.4,311.8,1306,61,215,Yes
L51911,L,303.3,311.6,1301,45.1,219,Yes
M19597,M,303.2,311.5,1336,58.2,2,Yes
L51919,L,303.2,311.4,1351,53.8,8,Yes
L51928,L,303.2,311.2,1363,46.7,29,Yes
L51935,L,303.4,311.7,1295,51.3,51,Yes
L51939,L,303.5,311.6,1361,46.5,62,Yes
H34175,H,303.7,311.9,1332,52.7,66,Yes
M19622,M,303.7,312,2663,11.4,71,Yes
L51948,L,303.6,312,1309,52.9,86,Yes
L51950,L,303.5,311.9,1344,49.3,93,Yes
H34192,H,303.6,312.2,1371,54.6,112,Yes
L51994,L,303.4,311.8,1401,53,208,Yes
L51996,L,303.4,312,1521,35.9,215,Yes
L52011,L,303.5,312,1366,54.5,30,Yes
L52013,L,303.4,311.9,1377,41.6,34,Yes
L52016,L,303.3,311.8,1315,62,42,Yes
L52020,L,303.4,311.9,1298,63.9,59,Yes
M19704,M,303.4,311.8,1316,50.9,69,Yes
L52031,L,303.7,312.1,1363,51.8,90,Yes
L52100,L,303.4,312.2,1337,69.4,52,Yes
L52116,L,303.5,312.4,1284,70.6,94,Yes
L52156,L,303.7,312.7,1359,56.8,194,Yes
L52164,L,303.8,313.1,1256,58.7,213,Yes
L52168,L,303.8,313.1,2497,13,5,Yes
M19857,M,303.6,312.8,2659,11.4,26,Yes
H34462,H,304,313.2,1271,68.6,161,Yes
L52241,L,304,312.9,1363,62.5,200,Yes
L52321,L,304.4,313.7,1509,35,205,Yes
L52399,L,303.8,313,1365,59.9,205,Yes
M20169,M,303.9,313.2,1422,48,215,Yes
M20194,M,303.4,312.6,2706,9.8,65,Yes
M20254,M,302.8,312.3,1262,70.5,234,Yes
H34813,H,302.8,312.4,1411,53.8,246,Yes
L52580,L,302.7,312.4,1477,46.3,251,Yes
M20261,M,302.6,312.3,1454,54.8,253,Yes
L52651,L,302.7,312.3,1346,61.2,170,Yes
L52668,L,302.7,312.2,1450,52.1,213,Yes
L52669,L,302.6,312.1,1499,35,215,Yes
L52670,L,302.6,312.1,1288,68.5,0,Yes
H34909,H,302.9,312.5,1357,55,12,Yes
L52689,L,302.8,312.2,1509,36.5,52,Yes
L52733,L,302.5,311.9,1306,59.7,172,Yes
M20475,M,303,312.2,1257,71.3,122,Yes
L52797,L,303.1,312.4,1404,61.5,127,Yes
L52819,L,302.6,312.1,1668,28.7,180,Yes
L52886,L,302.4,311.9,1290,70,139,Yes
L52914,L,302.3,311.8,1369,56.2,208,Yes
H35323,H,300.7,310.2,1364,65.3,208,Yes
M20859,M,300.4,310.2,1671,30.5,234,Yes
L53204,L,300.7,310.9,1356,65.3,66,Yes
L53258,L,300.8,310.7,1339,59.1,203,Yes
L53271,L,300.9,310.7,1412,57.5,16,Yes
L53333,L,301,311.1,1236,64.4,177,Yes
L53339,L,301,311,1399,58,190,Yes
L53352,L,300.8,310.6,1577,37.9,227,Yes
L53358,L,301.1,310.9,1282,67.9,10,Yes
L53428,L,300.8,310.1,1405,61.2,189,Yes
L53435,L,301,310.5,1379,57.3,204,Yes
L53436,L,301,310.6,1493,37.8,206,Yes
H35754,H,300.5,309.9,1397,45.9,210,Yes
H35833,H,300.3,309.9,1394,46.7,210,Yes
L53677,L,300.8,309.9,1312,65.3,192,Yes
L53705,L,301.1,310.4,1312,73.6,49,Yes
M21400,M,301.4,310.7,1368,63.7,92,Yes
M21478,M,301.6,310.6,1309,65.8,75,Yes
L53853,L,301.6,310.7,1380,51.8,216,Yes
M21538,M,301.5,310.7,1336,65.6,0,Yes
L53939,L,301.7,311,1441,44.3,208,Yes
M21659,M,301.1,310.7,2636,12.2,100,Yes
L54093,L,300.8,311.2,1481,38.5,181,Yes
L54104,L,301.2,311.6,1461,52.9,208,Yes
L54112,L,300.8,311.4,1322,67.2,18,Yes
L54140,L,300.7,311,1413,52,91,Yes
L54170,L,300.7,311.1,2478,13.4,170,Yes
L54191,L,300.5,310.5,2633,12.2,17,Yes
L54263,L,300.7,310.4,1416,61.8,209,Yes
L54267,L,300.6,310.3,1648,30.5,217,Yes
L54347,L,300.3,310.3,1362,60.3,206,Yes
L54460,L,299.9,310.2,1288,69.6,62,Yes
M22286,M,300,311.4,1692,29,216,Yes
L54668,L,300.3,311.7,1545,43.5,160,Yes
L54689,L,300.6,311.9,1372,60.1,212,Yes
L54690,L,300.5,311.8,1524,38.9,214,Yes
L54716,L,300.1,311.3,2579,12.5,64,Yes
M22424,M,300.3,311.2,1381,65.2,136,Yes
L54749,L,300.2,311,1255,71.8,149,Yes
M22451,M,300.5,311.1,1296,61.3,202,Yes
L54773,L,300.5,311.2,1270,67.5,208,Yes
L54849,L,300.7,311.8,1336,58.4,189,Yes
M22547,M,300.7,311.7,2097,18.9,232,Yes
L54936,L,300.5,311.8,1368,57.9,191,Yes
L54939,L,300.4,311.8,1272,59.2,198,Yes
L54943,L,300.4,311.6,1200,76.6,3,Yes
M22709,M,300.3,311.7,1374,47.9,222,Yes
H37282,H,300.4,311.9,1438,46.7,41,Yes
L55064,L,300.8,312.4,1465,59.1,91,Yes
L55106,L,300.7,311.9,1335,57.1,194,Yes
M22857,M,301,312.2,2710,9.7,143,Yes
L55206,L,300.7,311.9,1399,50.2,222,Yes
M22971,M,300.4,311.8,1553,33.1,209,Yes
L55372,L,299.6,310.9,1229,65.2,209,Yes
L55375,L,299.4,310.8,1376,53.9,215,Yes
L55379,L,299.2,310.7,1737,27,225,Yes
M23105,M,299,310.3,1303,68.6,111,Yes
M23167,M,298.7,310.1,1402,69.7,64,Yes
L55537,L,298.5,309.5,1385,46.3,203,Yes
L55578,L,298.5,309.7,2617,12.1,102,Yes
L55617,L,298.7,309.8,1181,65.9,203,Yes
M23442,M,297.5,308.1,1334,72,151,Yes
L55788,L,297.4,308.4,1369,50.6,220,Yes
L55789,L,297.4,308.3,1475,40.5,222,Yes
L55870,L,297.1,308.5,1323,44.4,207,Yes
M23706,M,297.4,308.8,1325,62.4,204,Yes
M23786,M,297.3,308.3,1459,59.6,207,Yes
M23874,M,297.2,308.1,1340,61.3,207,Yes
L56196,L,297.3,308.2,1396,52.7,212,Yes
L56198,L,297.3,308.1,1615,35.4,217,Yes
L56264,L,297.2,307.9,1326,75.4,172,Yes
L56354,L,297.8,308.9,1871,25.6,200,Yes
L56355,L,297.8,309,1403,64.2,0,Yes
L56594,L,298.1,308.6,1354,53.9,207,Yes
L56673,L,299.1,309.8,1398,55.4,217,Yes
L56756,L,299.6,310.7,1922,23.3,205,Yes
L56793,L,299,310.2,1377,62.5,92,Yes
L56833,L,299,309.9,1373,55.7,201,Yes
L56834,L,299.1,310,1367,56.3,203,Yes
L56839,L,298.9,309.8,1287,61.9,216,Yes
L56843,L,299.1,310.1,1435,48.8,229,Yes
L56844,L,299.1,310.2,1317,54.8,231,Yes
L56847,L,299.2,310.3,1352,48.9,238,Yes
L56938,L,298.6,309.8,2271,16.2,218,Yes
L56944,L,298.5,309.5,1294,66.7,12,Yes
L57002,L,298.5,309.4,1360,60.9,187,Yes
L57010,L,298.3,309.3,1337,56.1,206,Yes
L57154,L,298.6,308.2,1361,68.2,172,Yes
L47195,L,298.6,309.2,1542,48.4,42,No
H29441,H,299.1,309.4,1811,24.6,77,No
L47254,L,298.9,309,1601,32.3,202,No
L47329,L,298.4,308.3,1473,39.9,184,No
L47388,L,298.4,308.6,1591,36.7,122,No
L47404,L,298.3,308.6,1584,29.3,162,No
M15140,M,298.1,308.1,1456,43.7,80,No
L47492,L,297.9,308.6,1468,36,168,No
M15190,M,297.6,308.4,1398,41.9,215,No
M15285,M,297.3,308.4,1665,28.9,17,No
M15307,M,297.6,308.7,1376,59.9,74,No
L47634,L,297.4,308.7,1468,46.6,94,No
L47647,L,297.2,308.5,2182,16.5,127,No
L47682,L,297.6,309.2,1390,43.3,221,No
L47690,L,297.5,309.3,1564,37.5,20,No
L47696,L,297.5,309.3,1732,29.9,32,No
M15377,M,297.5,309.4,1391,58.2,34,No
H30011,H,297.6,309.6,1428,46.6,13,No
L47835,L,297.7,309.1,1435,38.8,165,No
M15522,M,297.6,308.9,1479,38.1,182,No
M15540,M,297.8,309.1,1432,42.6,17,No
L47875,L,297.6,309,1487,45.4,64,No
M15614,M,296.9,308.1,1483,44.3,219,No
L47937,L,296.9,308.1,1555,33.7,229,No
L47949,L,296.9,308,1343,44.5,15,No
L47990,L,296.9,307.7,1550,39.7,124,No
L48035,L,296.1,307.2,1615,30.8,18,No
L48049,L,295.8,306.5,1358,49.2,63,No
L48050,L,295.8,306.4,1325,56.2,65,No
L48220,L,296.7,307.7,1502,43.9,84,No
H30489,H,296.9,307.8,1345,54.5,172,No
L48286,L,296.7,307.6,1540,38.6,53,No
L48332,L,297.1,307.9,1507,38.3,170,No
L48349,L,297,308.1,1355,43.7,217,No
H30594,H,297.3,308.4,1531,35.6,16,No
L48422,L,297.1,308.4,1468,44.4,197,No
L48427,L,297.2,308.5,1513,42.9,212,No
L48428,L,297.2,308.6,1489,40.2,214,No
L48440,L,297.6,309,1528,33.8,22,No
M16127,M,298.1,309.6,1549,38.7,43,No
M16145,M,298.5,309.6,1492,41.7,100,No
L48467,L,298.5,309.6,1419,41.5,105,No
L48488,L,298.9,310.1,1750,25,156,No
M16193,M,299,310.3,1558,35.4,223,No
L48534,L,298.6,310,1334,48,42,No
L48624,L,299,310.2,1477,37.9,60,No
L48651,L,298.5,309.6,1421,53.6,122,No
M16361,M,298,308.7,1436,48.2,201,No
L48718,L,298.4,309.1,1798,29.6,81,No
M16414,M,298.4,308.7,1584,31.7,117,No
L48739,L,298.2,308.3,1458,41.8,132,No
L48756,L,298.3,308.4,1490,41.7,170,No
L48771,L,298.2,308.4,1355,49.4,209,No
M16463,M,297.8,307.8,1622,32.1,18,No
H31048,H,297.9,307.9,1406,58.5,93,No
M16506,M,297.9,307.7,1527,42.8,125,No
L48834,L,298.2,308.1,1379,62.3,149,No
H31079,H,298.2,307.9,1491,39.7,181,No
L48997,L,298.1,307.7,1664,27.6,145,No
M16679,M,298.1,307.6,2066,19.2,150,No
L49002,L,298.1,307.6,1488,39.4,157,No
M16692,M,297.8,307.4,1330,51.7,183,No
H31303,H,297.7,307.4,1432,40.2,132,No
L49076,L,297.9,307.5,1574,35.8,153,No
L49077,L,297.8,307.4,1418,41.2,155,No
M16771,M,298.1,307.8,1316,57.2,191,No
L49253,L,299.6,309.4,1677,31.1,191,No
L49286,L,299.4,309.1,1645,28.6,57,No
L49312,L,299.4,309,1660,28.4,139,No
L49322,L,299.3,308.9,1376,60.3,163,No
L49327,L,299.4,308.9,1550,33.7,174,No
L49328,L,299.4,308.9,1583,34.1,176,No
M17018,M,299.5,309,1399,49.7,207,No
M17019,M,299.5,309,1602,31.3,210,No
L49352,L,299.5,309.2,1816,23,15,No
H31594,H,299.6,309.2,1597,36.3,35,No
L49390,L,299.7,309.2,1401,54.1,118,No
H31629,H,299.7,309.2,1468,49.6,132,No
L49420,L,299.2,308.5,1457,44.7,195,No
L49474,L,299.4,308.8,1627,32.6,124,No
H31721,H,299,308.5,1623,33.5,154,No
L49489,L,299.1,308.6,1611,31.4,161,No
M17186,M,299.4,308.7,1487,52.6,205,No
L49517,L,299.2,308.4,1877,23.9,4,No
H31890,H,298.9,308.4,1449,42.4,149,No
M17408,M,299.3,309.2,1440,37.5,111,No
H31966,H,299.3,309.1,1552,40.7,120,No
L49743,L,299.3,309.1,1496,37.2,149,No
L49763,L,299.2,308.9,1342,50.8,195,No
M17464,M,299.3,309.1,1385,45.6,34,No
H32024,H,299.4,309.1,1547,40.9,50,No
L49792,L,299.4,309.1,2421,14.2,57,No
L49822,L,299.8,309.5,1542,40.3,141,No
M17517,M,300,309.5,1425,40.8,178,No
L49856,L,299.7,309.3,1592,34.2,8,No
L49913,L,299.7,309.2,1422,40.4,140,No
L49919,L,299.8,309.2,1572,35.4,158,No
L49965,L,300.2,309.5,1495,32.6,49,No
L50043,L,300.6,309.4,1471,44.1,244,No
L50060,L,300.7,309.5,1541,37.2,48,No
L50085,L,300.6,309.4,1552,36.4,113,No
M17793,M,300.8,309.7,1751,27.9,183,No
M17834,M,300.6,309.4,1521,37.2,90,No
L50174,L,300.5,309.8,1461,52.5,146,No
L50203,L,300.4,309.5,1711,29.2,215,No
L50227,L,300.2,309.4,1558,38.3,51,No
L50276,L,299.9,309.2,1560,38.9,180,No
L50285,L,299.8,309.1,1612,35.4,205,No
M17972,M,299.8,309.1,1355,56.7,7,No
H32553,H,300.4,309.9,1513,38.7,76,No
M18007,M,300.4,309.7,1440,42.8,104,No
H32563,H,300.4,309.7,1500,35.2,112,No
M18029,M,300.4,309.6,1675,35.5,164,No
M18038,M,300.2,309.4,1329,53.6,186,No
L50373,L,300,309.1,1401,44.5,0,No
M18058,M,300,309.1,1463,45.7,11,No
M18105,M,301,309.6,1588,32.7,138,No
M18107,M,301,309.8,1594,31.1,143,No
M18151,M,301.2,310.1,1479,45.5,44,No
L50501,L,301.5,310.6,1522,41,114,No
L50578,L,301.4,310.7,1675,30.7,92,No
L50593,L,301.3,310.3,1560,36.3,129,No
L50611,L,301.6,310.7,1429,43.6,176,No
H32940,H,301.8,310.8,1470,37.6,204,No
L50854,L,302.2,311.5,1346,52.4,157,No
M18575,M,302.4,311.4,1475,45.2,46,No
L50928,L,302.5,311.1,1493,39,137,No
L50952,L,302.4,311.1,1448,44.8,195,No
L50983,L,302.2,310.9,1531,37.5,60,No
L51025,L,302.3,311,1591,32.7,171,No
L51038,L,302.5,311.4,1559,37.6,209,No
M18728,M,302.7,311.7,1759,29.9,5,No
M18731,M,302.7,311.8,1728,30,12,No
L51071,L,302.2,311.1,1418,47,61,No
M18758,M,302.1,311.1,1423,36.8,80,No
M18782,M,302.6,311.4,1757,29.5,151,No
L51120,L,302.3,311.5,1395,54.2,198,No
L51175,L,302.3,311.3,1621,31.6,135,No
M18856,M,302.3,311.3,1625,33.1,137,No
M18878,M,302,310.8,1783,23.1,190,No
L51202,L,302.1,310.9,1666,30.7,203,No
L51221,L,302,310.9,1539,34.2,13,No
L51229,L,301.8,310.8,1505,41.2,33,No
L51244,L,301.9,310.7,1480,47.1,68,No
L51305,L,302.1,310.6,1439,40,7,No
M19012,M,302,310.5,1425,44.7,76,No
L51451,L,302.6,310.8,1470,41.2,156,No
L51464,L,301.8,310,1493,40.3,185,No
L51566,L,301.9,309.7,1719,31.9,0,No
L51701,L,302.4,310.4,1865,23.9,129,No
L51749,L,302.8,310.9,1636,35,38,No
L51937,L,303.4,311.6,1497,42.8,58,No
L51959,L,303.7,312.3,1511,38.9,117,No
L51976,L,303.5,312.4,1390,47.3,164,No
L52006,L,303.4,311.8,2268,15.8,20,No
L52009,L,303.4,311.9,1491,38.2,26,No
L52030,L,303.5,312,1441,56.8,88,No
M19720,M,303.6,312.4,1504,49.5,109,No
H34299,H,303.8,312.5,1748,25.1,175,No
L52066,L,303.8,312.5,1372,45.7,180,No
L52082,L,303.6,312.3,1616,29.3,226,No
L52125,L,303.6,312.7,1418,44.1,118,No
L52144,L,303.9,312.7,1602,33.9,165,No
L52207,L,304,313.3,1294,54.6,102,No
L52238,L,303.9,312.9,1526,42.5,194,No
M19939,M,304.2,313.4,1411,54.8,44,No
L52299,L,304.2,313.6,1411,46,149,No
L52333,L,304.2,313.4,1644,31.7,23,No
M20023,M,304.2,313.4,1713,23.5,50,No
H34770,H,303.3,312.6,1692,29,125,No
M20219,M,303.3,312.6,1397,47.1,137,No
M20257,M,302.8,312.3,1416,42.7,241,No
L52610,L,302.8,312.5,1694,28.4,66,No
M20324,M,302.9,312.4,1659,33.1,152,No
M20329,M,302.7,312.2,1439,42.5,164,No
M20330,M,302.7,312.2,1585,35.5,167,No
L52655,L,302.7,312.2,1336,46.8,179,No
M20387,M,302.5,311.9,1532,38.8,96,No
L52717,L,302.4,311.8,1648,30,122,No
H34953,H,302.3,311.7,1482,39,127,No
M20423,M,302.3,311.7,1640,31.5,199,No
L52764,L,302.4,311.9,1578,29.9,44,No
M20473,M,303,312.3,1483,38.8,114,No
M20484,M,302.8,312.2,1469,36.9,143,No
M20524,M,302.2,311.4,1539,35.1,24,No
M20534,M,302.2,311.7,1393,42.5,53,No
L52861,L,302.2,311.6,1383,44.3,72,No
L52870,L,302.3,311.8,1435,44.8,98,No
M20581,M,302.3,311.8,1443,43.4,175,No
L52911,L,302.2,311.6,1872,20.4,202,No
H35177,H,301.8,311.2,1451,39.4,70,No
L52991,L,301.3,311.1,1454,40.3,191,No
