Survived,Name,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare,Pclass
No,Mr. Apostolos Chronopoulos,male,26,1,0,14.4542,Third
Yes,Mr. Lee Bing,male,32,0,0,56.4958,Third
No,Mr. Sigurd Hansen Moen,male,25,0,0,7.65,Third
No,Mr. Ivan Staneff,male,23,0,0,7.8958,Third
No,Mr. Rahamin Haim Moutal,male,28,0,0,8.05,Third
Yes,Master. Alden Gates Caldwell,male,0.83,0,2,29,Second
Yes,Miss. Elizabeth Dowdell,female,30,0,0,12.475,Third
No,Mr. Achille Waelens,male,22,0,0,9,Third
Yes,Mr. Jan Baptist Sheerlinck,male,29,0,0,9.5,Third
Yes,Miss. Brigdet Delia McDermott,female,31,0,0,7.7875,Third
No,Mr. Francisco M Carrau,male,28,0,0,47.1,First
Yes,Miss. Bertha Ilett,female,17,0,0,10.5,Second
Yes,Mrs. Karl Alfred (Maria Mathilda Gustafsson) Backstrom,female,33,3,0,15.85,Third
No,Mr. William Neal Ford,male,16,1,3,34.375,Third
No,Mr. Selman Francis Slocovski,male,20,0,0,8.05,Third
Yes,Miss. Mabel Helen Fortune,female,23,3,2,263,First
No,Mr. Francesco Celotti,male,24,0,0,8.05,Third
No,Mr. Emil Christmann,male,29,0,0,8.05,Third
No,Mr. Paul Edvin Andreasson,male,20,0,0,7.8542,Third
No,Mr. Herbert Fuller Chaffee,male,46,1,0,61.175,First
No,Mr. Bertram Frank Dean,male,26,1,2,20.575,Third
No,Mr. Daniel Coxon,male,59,0,0,7.25,Third
No,Mr. Charles Joseph Shorney,male,22,0,0,8.05,Third
No,Mr. George B Goldschmidt,male,71,0,0,34.6542,First
Yes,Mr. William Bertram Greenfield,male,23,0,1,63.3583,First
Yes,Mrs. John T (Ada Julia Bone) Doling,female,34,0,1,23,Second
No,Mr. Sinai Kantor,male,34,1,0,26,Second
No,Miss. Matilda Petranec,female,28,0,0,7.8958,Third
No,Mr. Pastcho Petroff,male,29,0,0,7.8958,Third
No,Mr. Richard Frasar White,male,21,0,1,77.2875,First
No,Mr. Gustaf Joel Johansson,male,33,0,0,8.6542,Third
No,Mr. Anders Vilhelm Gustafsson,male,37,2,0,7.925,Third
No,Mr. Stoytcho Mionoff,male,28,0,0,7.8958,Third
Yes,Miss. Anna Kristine Salkjelsvik,female,21,0,0,7.65,Third
Yes,Mr. Albert Johan Moss,male,29,0,0,7.775,Third
No,Mr. Tido Rekic,male,38,0,0,7.8958,Third
Yes,Miss. Bertha Moran,female,28,1,0,24.15,Third
No,Mr. Walter Chamberlain Porter,male,47,0,0,52,First
No,Miss. Hileni Zabour,female,14.5,1,0,14.4542,Third
No,Mr. David John Barton,male,22,0,0,8.05,Third
No,Miss. Katriina Jussila,female,20,1,0,9.825,Third
No,Miss. Malake Attalah,female,17,0,0,14.4583,Third
No,Mr. Edvard Pekoniemi,male,21,0,0,7.925,Third
No,Mr. Patrick Connors,male,70.5,0,0,7.75,Third
No,Mr. William John Robert Turpin,male,29,1,0,21,Second
No,Mr. Quigg Edmond Baxter,male,24,0,1,247.5208,First
No,Miss. Ellis Anna Maria Andersson,female,2,4,2,31.275,Third
No,Mr. Stanley George Hickman,male,21,2,0,73.5,Second
No,Mr. Leonard Charles Moore,male,19,0,0,8.05,Third
No,Mr. Nicholas Nasser,male,32.5,1,0,30.0708,Second
Yes,Miss. Susan Webber,female,32.5,0,0,13,Second
No,Mr. Percival Wayland White,male,54,0,1,77.2875,First
Yes,Master. Elias Nicola-Yarred,male,12,1,0,11.2417,Third
No,Mr. Martin McMahon,male,19,0,0,7.75,Third
Yes,Mr. Fridtjof Arne Madsen,male,24,0,0,7.1417,Third
Yes,Miss. Anna Peter,female,2,1,1,22.3583,Third
No,Mr. Johan Ekstrom,male,45,0,0,6.975,Third
No,Mr. Jozef Drazenoic,male,33,0,0,7.8958,Third
No,Mr. Domingos Fernandeo Coelho,male,20,0,0,7.05,Third
No,Mrs. Alexander A (Grace Charity Laury) Robins,female,47,1,0,14.5,Third
Yes,Mrs. Leopold (Mathilde Francoise Pede) Weisz,female,29,1,0,26,Second
No,Mr. Samuel James Hayden Sobey,male,25,0,0,13,Second
No,Mr. Emile Richard,male,23,0,0,15.0458,Second
Yes,Miss. Helen Monypeny Newsom,female,19,0,2,26.2833,First
No,Mr. Jacques Heath Futrelle,male,37,1,0,53.1,First
No,Mr. Olaf Elon Osen,male,16,0,0,9.2167,Third
No,Mr. Victor Giglio,male,24,0,0,79.2,First
No,Mrs. Joseph (Sultana) Boulos,female,40,0,2,15.2458,Third
Yes,Miss. Anna Sofia Nysten,female,22,0,0,7.75,Third
Yes,Mrs. Pekka Pietari (Elin Matilda Dolck) Hakkarainen,female,24,1,0,15.85,Third
No,Mr. Jeremiah Burke,male,19,0,0,6.75,Third
No,Mr. Edgardo Samuel Andrew,male,18,0,0,11.5,Second
No,Mr. Joseph Charles Nicholls,male,19,1,1,36.75,Second
Yes,Mr. August Edvard Andersson,male,27,0,0,7.7958,Third
No,Miss. Robina Maggie Ford,female,9,2,2,34.375,Third
No,Mr. Michel Navratil,male,36.5,0,2,26,Second
No,Rev. Thomas Roussel Davids Byles,male,42,0,0,13,Second
No,Rev. Robert James Bateman,male,51,0,0,12.525,Second
Yes,Mrs. Thomas (Edith Wearne) Pears,female,22,1,0,66.6,First
No,Mr. Alfonzo Meo,male,55.5,0,0,8.05,Third
No,Mr. Austin Blyler van Billiard,male,40.5,0,2,14.5,Third
No,Mr. Ole Martin Olsen,male,27,0,0,7.3125,Third
No,Mr. Charles Duane Williams,male,51,0,1,61.3792,First
Yes,Miss. Katherine Gilnagh,female,16,0,0,7.7333,Third
No,Mr. Harry Corn,male,30,0,0,8.05,Third
No,Mr. Mile Smiljanic,male,37,0,0,8.6625,Third
No,Master. Thomas Henry Sage,male,5,8,2,69.55,Third
No,Mr. John Hatfield Cribb,male,44,0,1,16.1,Third
Yes,Mrs. James (Elizabeth Inglis Milne) Watt,female,40,0,0,15.75,Second
No,Mr. John Viktor Bengtsson,male,26,0,0,7.775,Third
No,Mr. Jovo Calic,male,17,0,0,8.6625,Third
No,Master. Eino Viljami Panula,male,1,4,1,39.6875,Third
Yes,Master. Frank John William Goldsmith,male,9,0,2,20.525,Third
Yes,Mrs. (Edith Martha Bowerman) Chibnall,female,48,0,1,55,First
No,Mrs. William (Anna Bernhardina Karlsson) Skoog,female,45,1,4,27.9,Third
No,Mr. John D Baumann,male,60,0,0,25.925,First
No,Mr. Lee Ling,male,28,0,0,56.4958,Third
No,Mr. Wyckoff Van der hoef,male,61,0,0,33.5,First
No,Master. Arthur Rice,male,4,4,1,29.125,Third
Yes,Miss. Eleanor Ileen Johnson,female,1,1,1,11.1333,Third
No,Mr. Antti Wilhelm Sivola,male,21,0,0,7.925,Third
No,Mr. James Clinch Smith,male,56,0,0,30.6958,First
No,Mr. Klas Albin Klasen,male,18,1,1,7.8542,Third
No,Master. Henry Forbes Lefebre,male,5,3,1,25.4667,Third
No,Miss. Ann Elizabeth Isham,female,50,0,0,28.7125,First
No,Mr. Reginald Hale,male,30,0,0,13,Second
No,Mr. Lionel Leonard,male,36,0,0,0,Third
No,Miss. Constance Gladys Sage,female,8,8,2,69.55,Third
No,Mr. Rene Pernot,male,39,0,0,15.05,Second
No,Master. Clarence Gustaf Hugo Asplund,male,9,4,2,31.3875,Third
Yes,Master. Richard F Becker,male,1,2,1,39,Second
Yes,Miss. Luise Gretchen Kink-Heilmann,female,4,0,2,22.025,Third
No,Mr. Hugh Roscoe Rood,male,39,0,0,50,First
Yes,Mrs. Thomas (Johanna Godfrey) O'Brien,female,26,1,0,15.5,Third
Yes,Mr. Charles Hallace Romaine,male,45,0,0,26.55,First
No,Mr. John Bourke,male,40,1,1,15.5,Third
No,Mr. Stjepan Turcin,male,36,0,0,7.8958,Third
Yes,Mrs. (Rosa) Pinsky,female,32,0,0,13,Second
No,Mr. William Carbines,male,19,0,0,13,Second
Yes,Miss. Carla Christine Nielsine Andersen-Jensen,female,19,1,0,7.8542,Third
Yes,Master. Michel M Navratil,male,3,1,1,26,Second
Yes,Mrs. James Joseph (Margaret Tobin) Brown,female,44,0,0,27.7208,First
Yes,Miss. Elise Lurette,female,58,0,0,146.5208,First
No,Mr. Robert Mernagh,male,28,0,0,7.75,Third
No,Mr. Karl Siegwart Andreas Olsen,male,42,0,1,8.4042,Third
Yes,Miss. Margaret Madigan,female,21,0,0,7.75,Third
No,Miss. Henriette Yrois,female,24,0,0,13,Second
No,Mr. Nestor Cyriel Vande Walle,male,28,0,0,9.5,Third
No,Mr. Frederick Sage,male,17,8,2,69.55,Third
No,Mr. Jakob Alfred Johanson,male,34,0,0,6.4958,Third
No,Mr. Gerious Youseff,male,45.5,0,0,7.225,Third
Yes,Mr. Gurshon Cohen,male,18,0,0,8.05,Third
No,Miss. Telma Matilda Strom,female,2,0,1,10.4625,Third
No,Mr. Karl Alfred Backstrom,male,32,1,0,15.85,Third
Yes,Mr. Nassef Cassem Albimona,male,26,0,0,18.7875,Third
Yes,Miss. Helen Carr,female,16,0,0,7.75,Third
Yes,Mr. Henry Blank,male,40,0,0,31,First
No,Mr. Ahmed Ali,male,24,0,0,7.05,Third
Yes,Miss. Clear Annie Cameron,female,35,0,0,21,Second
No,Mr. John Henry Perkin,male,22,0,0,7.25,Third
No,Mr. Hans Kristensen Givard,male,30,0,0,13,Second
No,Mr. Philip Kiernan,male,22,1,0,7.75,Third
Yes,Miss. Madeleine Newell,female,31,1,0,113.275,First
Yes,Miss. Eliina Honkanen,female,27,0,0,7.925,Third
No,Mr. Sidney Samuel Jacobsohn,male,42,1,0,27,Second
Yes,Miss. Albina Bazzani,female,32,0,0,76.2917,First
No,Mr. Walter Harris,male,30,0,0,10.5,Second
Yes,Mr. Victor Francis Sunderland,male,16,0,0,8.05,Third
No,Mr. James H Bracken,male,27,0,0,13,Second
No,Mr. George Henry Green,male,51,0,0,8.05,Third
No,Mr. Christo Nenkoff,male,22,0,0,7.8958,Third
Yes,Mr. Frederick Maxfield Hoyt,male,38,1,0,90,First
No,Mr. Karl Ivar Sven Berglund,male,22,0,0,9.35,Third
Yes,Mr. William John Mellors,male,19,0,0,10.5,Second
No,Mr. John Hall Lovell,male,20.5,0,0,7.25,Third
No,Mr. Arne Jonas Fahlstrom,male,18,0,0,13,Second
No,Miss. Mathilde Lefebre,female,12,3,1,25.4667,Third
Yes,Mrs. Henry Birkhardt (Irene Wallach) Harris,female,35,1,0,83.475,First
No,Mr. Bengt Edvin Larsson,male,29,0,0,7.775,Third
No,Mr. Ernst Adolf Sjostedt,male,59,0,0,13.5,Second
Yes,Miss. Lillian Gertrud Asplund,female,5,4,2,31.3875,Third
No,Mr. Robert William Norman Leyson,male,24,0,0,10.5,Second
No,Miss. Alice Phoebe Harknett,female,21,0,0,7.55,Third
No,Mr. Stephen Hold,male,44,1,0,26,Second
Yes,Miss. Marjorie Collyer,female,8,0,2,26.25,Second
No,Mr. Frederick William Pengelly,male,19,0,0,10.5,Second
No,Mr. George Henry Hunt,male,33,0,0,12.275,Second
No,Miss. Thamine Zabour,female,19,1,0,14.4542,Third
Yes,Miss. Katherine Murphy,female,18,1,0,15.5,Third
No,Mr. Reginald Charles Coleridge,male,29,0,0,10.5,Second
No,Mr. Matti Alexanteri Maenpaa,male,22,0,0,7.125,Third
No,Mr. Sleiman Attalah,male,30,0,0,7.225,Third
No,Dr. William Edward Minahan,male,44,2,0,90,First
No,Miss. Agda Thorilda Viktoria Lindahl,female,25,0,0,7.775,Third
Yes,Mrs. William (Anna) Hamalainen,female,24,0,2,14.5,Second
Yes,Mr. Richard Leonard Beckwith,male,37,1,1,52.5542,First
No,Rev. Ernest Courtenay Carter,male,54,1,0,26,Second
No,Mr. James George Reed,male,18,0,0,7.25,Third
No,Mrs. Wilhelm (Elna Matilda Persson) Strom,female,29,1,1,10.4625,Third
No,Mr. William Thomas Stead,male,62,0,0,26.55,First
No,Mr. William Arthur Lobb,male,30,1,0,16.1,Third
No,Mrs. Viktor (Helena Wilhelmina) Rosblom,female,41,0,2,20.2125,Third
Yes,Mrs. Darwis (Hanne Youssef Razi) Touma,female,29,0,2,15.2458,Third
Yes,Mrs. Gertrude Maybelle Thorne,female,38,0,0,79.2,First
Yes,Miss. Gladys Cherry,female,30,0,0,86.5,First
Yes,Miss. Anna Ward,female,35,0,0,512.3292,First
Yes,Mrs. (Lutie Davis) Parrish,female,50,0,1,26,Second
Yes,Master. Edvin Rojj Felix Asplund,male,3,4,2,31.3875,Third
No,Mr. Emil Taussig,male,52,1,1,79.65,First
No,Mr. William Harrison,male,40,0,0,0,First
No,Miss. Delia Henry,female,21,0,0,7.75,Third
No,Mr. David Reeves,male,36,0,0,10.5,Second
No,Mr. Ernesti Arvid Panula,male,16,4,1,39.6875,Third
Yes,Mr. Ernst Ulrik Persson,male,25,1,0,7.775,Third
Yes,Mrs. William Thompson (Edith Junkins) Graham,female,58,0,1,153.4625,First
Yes,Miss. Amelia Bissette,female,35,0,0,135.6333,First
No,Mr. Alexander Cairns,male,28,0,0,31,First
Yes,Mr. William Henry Tornquist,male,25,0,0,0,Third
Yes,Mrs. (Elizabeth Anne Maidment) Mellinger,female,41,0,1,19.5,Second
No,Mr. Charles H Natsch,male,37,0,1,29.7,First
Yes,Miss. Hanora Healy,female,33,0,0,7.75,Third
Yes,Miss. Kornelia Theodosia Andrews,female,63,1,0,77.9583,First
No,Miss. Augusta Charlotta Lindblom,female,45,0,0,7.75,Third
No,Mr. Francis Parkes,male,21,0,0,0,Second
No,Master. Eric Rice,male,7,4,1,29.125,Third
Yes,Mrs. Stanton (Rosa Hunt) Abbott,female,35,1,1,20.25,Third
No,Mr. Frank Duane,male,65,0,0,7.75,Third
No,Mr. Nils Johan Goransson Olsson,male,28,0,0,7.8542,Third
No,Mr. Alfons de Pelsmaeker,male,16,0,0,9.5,Third
Yes,Mr. Edward Arthur Dorking,male,19,0,0,8.05,Third
No,Mr. Richard William Smith,male,57,0,0,26,First
No,Mr. Ivan Stankovic,male,33,0,0,8.6625,Third
Yes,Mr. Theodore de Mulder,male,30,0,0,9.5,Third
No,Mr. Penko Naidenoff,male,22,0,0,7.8958,Third
Yes,Mr. Masabumi Hosono,male,42,0,0,13,Second
Yes,Miss. Kate Connolly,female,22,0,0,7.75,Third
Yes,Miss. Ellen Barber,female,26,0,0,78.85,First
Yes,Mrs. Dickinson H (Helen Walton) Bishop,female,19,1,0,91.0792,First
No,Mr. Rene Jacques Levy,male,36,0,0,12.875,Second
No,Miss. Aloisia Haas,female,24,0,0,8.85,Third
No,Mr. Ivan Mineff,male,24,0,0,7.8958,Third
No,Mr. Ervin G Lewy,male,30,0,0,27.7208,First
No,Mr. Mansour Hanna,male,23.5,0,0,7.2292,Third
No,Miss. Helen Loraine Allison,female,2,1,2,151.55,First
Yes,Mr. Adolphe Saalfeld,male,47,0,0,30.5,First
Yes,Mrs. James (Helene DeLaudeniere Chaput) Baxter,female,50,0,1,247.5208,First
Yes,Miss. Anna Katherine Kelly,female,20,0,0,7.75,Third
Yes,Mr. Bernard McCoy,male,24,2,0,23.25,Third
No,Mr. William Cahoone Jr Johnson,male,19,0,0,0,Third
Yes,Miss. Nora A Keane,female,46,0,0,12.35,Second
No,Mr. Howard Hugh Williams,male,28,0,0,8.05,Third
Yes,Master. Hudson Trevor Allison,male,0.92,1,2,151.55,First
Yes,Miss. Margaret Fleming,female,42,0,0,110.8833,First
Yes,Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo) Penasco y Castellana,female,17,1,0,108.9,First
No,Mr. Samuel Abelson,male,30,1,0,24,Second
Yes,Miss. Laura Mabel Francatelli,female,30,0,0,56.9292,First
Yes,Miss. Margaret Bechstein Hays,female,24,0,0,83.1583,First
Yes,Miss. Emily Borie Ryerson,female,18,2,2,262.375,First
No,Mrs. William (Anna Sylfven) Lahtinen,female,26,1,1,26,Second
No,Mr. Ignjac Hendekovic,male,28,0,0,7.8958,Third
No,Mr. Benjamin Hart,male,43,1,1,26.25,Second
Yes,Miss. Helmina Josefina Nilsson,female,26,0,0,7.8542,Third
Yes,Mrs. Sinai (Miriam Sternin) Kantor,female,24,1,0,26,Second
No,Dr. Ernest Moraweck,male,54,0,0,14,Second
Yes,Miss. Mary Natalie Wick,female,31,0,2,164.8667,First
Yes,Mrs. Frederic Oakley (Margaretta Corning Stone) Spedden,female,40,1,1,134.5,First
No,Mr. Samuel Dennis,male,22,0,0,7.25,Third
No,Mr. Yoto Danoff,male,27,0,0,7.8958,Third
Yes,Miss. Hilda Mary Slayter,female,30,0,0,12.35,Second
Yes,Mrs. Albert Francis (Sylvia Mae Harbaugh) Caldwell,female,22,1,1,29,Second
No,Mr. George John Jr Sage,male,20,8,2,69.55,Third
Yes,Miss. Marie Grice Young,female,36,0,0,135.6333,First
No,Mr. Johan Hansen Nysveen,male,61,0,0,6.2375,Third
Yes,Mrs. (Ada E Hall) Ball,female,36,0,0,13,Second
Yes,Mrs. Frank John (Emily Alice Brown) Goldsmith,female,31,1,1,20.525,Third
Yes,Miss. Jean Gertrude Hippach,female,16,0,1,57.9792,First
Yes,Miss. Agnes McCoy,female,28,2,0,23.25,Third
No,Mr. Austen Partner,male,45.5,0,0,28.5,First
No,Mr. George Edward Graham,male,38,0,1,153.4625,First
No,Mr. Leo Edmondus Vander Planke,male,16,2,0,18,Third
Yes,Mrs. Henry William (Clara Heinsheimer) Frauenthal,female,42,1,0,133.65,First
No,Mr. Mitto Denkoff,male,30,0,0,7.8958,Third
No,Mr. Thomas Clinton Pears,male,29,1,0,66.6,First
Yes,Miss. Elizabeth Margaret Burns,female,41,0,0,134.5,First
Yes,Mr. Karl Edwart Dahl,male,45,0,0,8.05,Third
No,Mr. Stephen Weart Blackwell,male,45,0,0,35.5,First
Yes,Master. Edmond Roger Navratil,male,2,1,1,26,Second
Yes,Miss. Alice Elizabeth Fortune,female,24,3,2,263,First
No,Mr. Erik Gustaf Collander,male,28,0,0,13,Second
No,Mr. Charles Frederick Waddington Sedgwick,male,25,0,0,13,Second
No,Mr. Stanley Hubert Fox,male,36,0,0,13,Second
Yes,Miss. Amelia Brown,female,24,0,0,13,Second
Yes,Miss. Marion Elsie Smith,female,40,0,0,13,Second
Yes,Mrs. Thomas Henry (Mary E Finck) Davison,female,34,1,0,16.1,Third
Yes,Master. William Loch Coutts,male,3,1,1,15.9,Third
No,Mr. Jovan Dimic,male,42,0,0,8.6625,Third
No,Mr. Nils Martin Odahl,male,23,0,0,9.225,Third
No,Mr. Fletcher Fellows Williams-Lambert,male,43,0,0,35,First
No,Mr. Tannous Elias,male,15,1,1,7.2292,Third
No,Mr. Josef Arnold-Franchi,male,25,1,0,17.8,Third
No,Mr. Wazli Yousif,male,23,0,0,7.225,Third
No,Mr. Leo Peter Vanden Steen,male,28,0,0,9.5,Third
Yes,Miss. Elsie Edith Bowerman,female,22,0,1,55,First
No,Miss. Annie Clemmer Funk,female,38,0,0,13,Second
Yes,Miss. Mary McGovern,female,22,0,0,7.8792,Third
Yes,Miss. Helen Mary Mockler,female,23,0,0,7.8792,Third
No,Mr. Wilhelm Skoog,male,40,1,4,27.9,Third
No,Mr. Sebastiano del Carlo,male,29,1,0,27.7208,Second
No,Mrs. (Catherine David) Barbara,female,45,0,1,14.4542,Third
No,Mr. Adola Asim,male,35,0,0,7.05,Third
No,Mr. Thomas O'Brien,male,27,1,0,15.5,Third
No,Mr. Mauritz Nils Martin Adahl,male,30,0,0,7.25,Third
Yes,Mrs. Frank Manley (Anna Sophia Atkinson) Warren,female,60,1,0,75.25,First
Yes,Mrs. (Mantoura Boulos) Moussa,female,35,0,0,7.2292,Third
Yes,Miss. Annie Jermyn,female,22,0,0,7.75,Third
Yes,Mme. Leontine Pauline Aubart,female,24,0,0,69.3,First
Yes,Mr. George Achilles Harder,male,25,1,0,55.4417,First
No,Mr. Jakob Alfred Wiklund,male,18,1,0,6.4958,Third
No,Mr. William Thomas Beavan,male,19,0,0,8.05,Third
No,Mr. Sante Ringhini,male,22,0,0,135.6333,First
No,Miss. Stina Viola Palsson,female,3,3,1,21.075,Third
Yes,Mrs. Edgar Joseph (Leila Saks) Meyer,female,25,1,0,82.1708,First
Yes,Miss. Aurora Adelia Landergren,female,22,0,0,7.25,Third
No,Mr. Harry Elkins Widener,male,27,0,2,211.5,First
No,Mr. Tannous Betros,male,20,0,0,4.0125,Third
No,Mr. Karl Gideon Gustafsson,male,19,0,0,7.775,Third
Yes,Miss. Rosalie Bidois,female,42,0,0,227.525,First
Yes,Miss. Maria Nakid,female,1,0,2,15.7417,Third
No,Mr. Juho Tikkanen,male,32,0,0,7.925,Third
Yes,Mrs. Alexander Oskar (Mary Aline Towner) Holverson,female,35,1,0,52,First
No,Mr. Vasil Plotcharsky,male,27,0,0,7.8958,Third
No,Mr. Charles Henry Davies,male,18,0,0,73.5,Second
No,Master. Sidney Leonard Goodwin,male,1,5,2,46.9,Third
Yes,Miss. Kate Buss,female,36,0,0,13,Second
No,Mr. Matthew Sadlier,male,19,0,0,7.7292,Third
Yes,Miss. Bertha Lehmann,female,17,0,0,12,Second
Yes,Mr. William Ernest Carter,male,36,1,2,120,First
Yes,Mr. Carl Olof Jansson,male,21,0,0,7.7958,Third
No,Mr. Johan Birger Gustafsson,male,28,2,0,7.925,Third
Yes,Miss. Marjorie Newell,female,23,1,0,113.275,First
Yes,Mrs. Hjalmar (Agnes Charlotta Bengtsson) Sandstrom,female,24,0,2,16.7,Third
No,Mr. Erik Johansson,male,22,0,0,7.7958,Third
No,Miss. Elina Olsson,female,31,0,0,7.8542,Third
No,Mr. Peter David McKane,male,46,0,0,26,Second
No,Dr. Alfred Pain,male,23,0,0,10.5,Second
Yes,Mrs. William H (Jessie L) Trout,female,28,0,0,12.65,Second
Yes,Mr. Juha Niskanen,male,39,0,0,7.925,Third
No,Mr. John Adams,male,26,0,0,8.05,Third
No,Miss. Mari Aina Jussila,female,21,1,0,9.825,Third
No,Mr. Pekka Pietari Hakkarainen,male,28,1,0,15.85,Third
No,Miss. Marija Oreskovic,female,20,0,0,8.6625,Third
No,Mr. Shadrach Gale,male,34,1,0,21,Second
No,Mr. Carl/Charles Peter Widegren,male,51,0,0,7.75,Third
Yes,Master. William Rowe Richards,male,3,1,1,18.75,Second
No,Mr. Hans Martin Monsen Birkeland,male,21,0,0,7.775,Third
No,Miss. Ida Lefebre,female,3,3,1,25.4667,Third
No,Mr. Todor Sdycoff,male,42,0,0,7.8958,Third
No,Mr. Henry Hart,male,27,0,0,6.8583,Third
Yes,Miss. Daisy E Minahan,female,33,1,0,90,First
