Engine_Size,Num_Doors,Price,Age_Month,KM,Mfr_Guarantee,Power_Steering
1.6,4/5-Doors,8900,49,74494,1,1
1.6,4/5-Doors,10500,50,73634,0,1
1.6,4/5-Doors,11750,47,73403,1,1
1.4,2/3-Doors,11450,49,73175,1,1
1.6,2/3-Doors,12000,52,73000,0,1
1.6,2/3-Doors,11950,50,72242,1,1
1.4,2/3-Doors,9850,53,72000,0,1
1.6,4/5-Doors,10950,54,71725,0,1
1.6,4/5-Doors,10950,54,71276,0,1
1.9,2/3-Doors,8695,50,70440,0,1
1.6,2/3-Doors,10990,53,70239,0,1
1.4,2/3-Doors,9500,55,69813,0,1
1.3,2/3-Doors,11950,49,69659,0,1
1.4,4/5-Doors,10750,46,69574,1,1
1.9,4/5-Doors,8750,47,69000,0,1
1.6,4/5-Doors,8750,49,68565,0,1
2.0,2/3-Doors,11450,55,68520,1,1
1.4,2/3-Doors,9950,46,68414,1,1
1.6,Stationwagen,11950,56,66777,1,1
1.6,Stationwagen,13950,52,66527,1,1
1.6,4/5-Doors,11250,54,66063,0,1
1.4,4/5-Doors,10900,50,65471,0,1
1.4,2/3-Doors,9750,56,65400,1,1
1.4,2/3-Doors,9950,52,65170,1,1
1.6,4/5-Doors,11950,56,65000,0,0
1.6,2/3-Doors,10450,48,64193,0,1
1.4,2/3-Doors,8950,54,64000,0,1
1.6,4/5-Doors,10250,54,63792,0,1
1.6,4/5-Doors,9930,53,63635,0,1
1.6,2/3-Doors,10500,54,63135,1,1
1.6,4/5-Doors,11950,54,63123,1,1
1.9,Stationwagen,11500,48,63000,0,1
1.6,4/5-Doors,11500,55,63000,0,1
1.6,4/5-Doors,11450,54,62987,0,1
1.6,2/3-Doors,9900,56,62751,0,1
1.4,2/3-Doors,9500,54,62519,0,1
1.4,4/5-Doors,10500,50,62280,0,1
1.6,4/5-Doors,10750,50,61672,0,1
2.0,4/5-Doors,8950,54,61000,0,1
1.6,2/3-Doors,12000,56,61000,1,1
1.6,4/5-Doors,10950,47,60348,1,1
1.6,4/5-Doors,10750,54,60239,0,1
1.4,2/3-Doors,9799,51,59000,0,1
1.4,4/5-Doors,11750,51,58761,0,1
1.6,4/5-Doors,11950,54,58745,1,1
1.6,2/3-Doors,11250,52,58596,0,1
1.6,4/5-Doors,11750,54,58530,0,1
1.6,2/3-Doors,10950,55,58377,1,1
1.6,4/5-Doors,11250,56,58142,1,1
1.4,2/3-Doors,9950,53,57948,0,1
1.6,4/5-Doors,9700,51,57645,0,1
1.6,4/5-Doors,11950,47,57500,0,1
1.6,2/3-Doors,9900,53,57475,0,1
1.6,2/3-Doors,9990,55,56743,0,1
1.4,2/3-Doors,9475,48,56675,0,1
1.6,4/5-Doors,11500,54,55877,1,1
1.6,4/5-Doors,11950,53,55500,1,1
1.4,4/5-Doors,11500,55,54900,1,1
1.6,4/5-Doors,10500,50,54465,0,1
1.4,4/5-Doors,10900,46,53700,1,1
1.4,4/5-Doors,11700,52,53561,1,1
1.6,4/5-Doors,11900,51,53408,0,1
1.6,Stationwagen,13950,51,53268,1,1
1.4,2/3-Doors,10950,49,53116,0,1
1.4,2/3-Doors,10500,56,52448,1,1
1.4,2/3-Doors,10750,55,52149,0,1
1.6,4/5-Doors,11950,55,52141,1,1
1.4,2/3-Doors,10000,56,52000,0,1
1.4,4/5-Doors,10495,48,50967,1,1
1.6,4/5-Doors,11450,50,50400,1,1
1.4,2/3-Doors,9400,54,50000,0,1
1.3,4/5-Doors,11950,51,50000,1,1
1.6,4/5-Doors,9650,53,49969,0,1
1.6,2/3-Doors,18950,49,49568,0,1
1.6,2/3-Doors,11450,51,49473,1,1
1.6,2/3-Doors,10250,52,49432,1,1
1.6,2/3-Doors,11450,48,49417,1,1
1.4,2/3-Doors,9950,54,49366,0,1
1.6,2/3-Doors,10500,56,48731,1,1
1.6,4/5-Doors,13750,54,48370,0,1
1.4,2/3-Doors,9950,48,48071,1,1
1.6,4/5-Doors,10250,54,47852,0,1
1.6,2/3-Doors,10850,54,47768,1,1
1.6,Stationwagen,11895,52,47689,1,1
1.6,2/3-Doors,12950,53,47451,0,1
1.6,4/5-Doors,11950,50,47219,1,1
1.6,4/5-Doors,10750,56,47211,1,1
1.4,4/5-Doors,9550,54,46856,0,1
1.3,4/5-Doors,10950,56,46500,1,1
1.6,4/5-Doors,11750,52,46449,1,1
2.0,4/5-Doors,10950,47,46391,0,1
1.6,2/3-Doors,12450,54,46230,1,1
1.6,4/5-Doors,10500,52,46029,1,1
1.4,2/3-Doors,10900,50,46000,1,1
1.6,Stationwagen,12950,50,45900,1,1
1.4,4/5-Doors,10950,47,45850,1,1
1.6,4/5-Doors,12500,56,45336,1,1
1.4,2/3-Doors,9950,55,44537,0,1
1.3,2/3-Doors,10750,56,43700,1,1
1.4,2/3-Doors,12500,48,43120,1,1
1.6,2/3-Doors,10450,49,41710,1,1
1.4,2/3-Doors,10750,52,41700,1,1
1.6,4/5-Doors,12950,49,41636,0,1
1.4,4/5-Doors,10995,50,41273,1,1
1.6,2/3-Doors,11950,49,40836,1,1
1.4,4/5-Doors,11250,50,40400,1,1
1.6,4/5-Doors,11950,47,40361,0,1
1.3,4/5-Doors,13750,54,40325,0,1
1.6,4/5-Doors,11000,47,40000,0,1
1.6,4/5-Doors,13500,50,39706,0,1
1.6,2/3-Doors,10950,54,39291,0,1
1.4,2/3-Doors,10750,54,39000,0,1
1.4,2/3-Doors,8950,47,38900,0,1
1.6,2/3-Doors,12950,51,38403,0,1
1.4,2/3-Doors,9750,56,37461,0,1
1.4,2/3-Doors,10900,54,37000,1,1
1.6,4/5-Doors,10995,55,36406,1,1
1.4,4/5-Doors,10750,48,36005,1,1
1.6,4/5-Doors,10950,52,36000,0,1
1.6,4/5-Doors,13000,49,36000,1,1
1.6,2/3-Doors,12950,45,36000,1,1
1.6,4/5-Doors,11500,52,35823,1,1
1.4,2/3-Doors,10950,56,35230,1,1
1.6,2/3-Doors,11710,48,35142,0,1
1.4,2/3-Doors,9980,49,34890,1,1
1.6,Stationwagen,12250,51,34882,1,1
1.6,4/5-Doors,11500,46,34000,1,1
1.6,4/5-Doors,11950,56,33998,1,1
1.6,2/3-Doors,11500,55,33230,0,1
1.6,4/5-Doors,11900,46,33021,1,1
1.4,2/3-Doors,11930,49,31999,0,1
1.4,2/3-Doors,10500,52,31579,0,1
1.4,2/3-Doors,8950,56,31000,0,1
1.4,4/5-Doors,10450,46,30806,1,1
1.3,Stationwagen,10500,55,30461,1,1
1.6,2/3-Doors,12950,50,29686,1,1
1.3,2/3-Doors,9950,55,29650,0,1
1.6,2/3-Doors,12900,52,29500,1,1
1.4,2/3-Doors,9950,48,28656,0,1
1.4,2/3-Doors,9950,55,27500,1,1
1.6,2/3-Doors,10950,48,26938,0,1
